dataset_name,quality_label,problem_count,severity_score,missing_values_issue,class_imbalance_issue,outliers_issue,skew_kurtosis_issue,num_rows,num_columns,missing_percentage,imbalance_ratio,num_outlier_features,num_skewed_features
adult.csv,Good,2,21,False,False,True,True,32561,15,0.0,,4,3
adzuna_global_job_listings_2025.csv,Bad,3,57,True,False,True,True,17350,18,90.17,,5,5
agents_stats.csv,Bad,2,45,False,False,True,True,27,9,0.0,,8,8
ai_job_market.csv,Good,0,0,False,False,False,False,2000,12,0.0,,0,0
air_quality_global.csv,Good,2,16,False,False,True,True,6480,11,0.0,,3,2
airbnb.csv,Bad,3,65,True,False,True,True,48895,16,20.56,0.52,8,7
airlines_test.csv,Good,2,21,False,False,True,True,25976,24,0.32,0.561,4,3
airlines_train.csv,Good,2,21,False,False,True,True,103904,24,0.3,0.567,4,3
all_stocks_5yr.csv,Good,2,27,False,False,True,True,619040,7,0.0,,5,5
amazon_all_electronics_data.csv,Good,2,16,False,False,True,True,9318,7,0.71,,3,3
application_record.csv,Bad,3,57,True,False,True,True,438557,18,30.6,,5,5
audi.csv,Bad,2,45,False,False,True,True,10668,9,0.0,,6,6
auto-mpg.csv,Good,1,10,False,False,True,False,398,9,0.0,,2,0
Average_Food_Cost_Per_Person.csv,Good,2,31,False,False,True,True,92,14,1.09,,12,2
Bacteria_dataset_Multiresictance.csv,Good,1,10,True,False,False,False,10710,27,6.25,,0,0
bank.csv,Bad,2,37,False,False,True,True,11162,17,0.0,,6,5
bmw.csv,Good,2,27,False,False,True,True,10781,9,0.0,,5,5
breast_cancer.csv,Bad,2,45,False,False,True,True,569,32,0.0,0.627,29,22
Building_Permits.csv,Bad,3,75,True,False,True,True,198900,43,100.0,,11,13
cancer-risk-factors.csv,Good,2,16,False,False,True,True,2000,21,0.0,,3,3
car data.csv,Good,2,27,False,False,True,True,301,9,0.0,,4,5
Car details v3.csv,Good,2,22,False,False,True,True,8128,13,2.73,,3,4
cclass.csv,Good,2,27,False,False,True,True,3899,7,0.0,,4,4
Children_Participating.csv,Bad,2,45,False,False,True,True,92,14,1.09,,12,12
Churn_Modelling.csv,Good,2,16,False,False,True,True,10000,14,0.0,,3,2
co2_emission.csv,Bad,3,26,True,False,True,True,20853,4,10.58,,2,2
Coffe_sales.csv,Good,0,0,False,False,False,False,3547,11,0.0,,0,0
CollegePlacement.csv,Good,1,10,False,False,True,False,10000,10,0.0,,1,0
credit_record.csv,Good,0,0,False,False,False,False,1048575,3,0.0,,0,0
creditcard.csv,Bad,2,45,False,False,True,True,284807,31,0.0,,29,21
crocodile_dataset.csv,Good,2,16,False,False,True,True,1000,15,0.0,,2,1
cryptocurrency.csv,Good,0,0,False,False,False,False,157696,9,0.02,,0,0
cumulative.csv,Bad,3,75,True,False,True,True,9564,50,100.0,,33,37
DailyDelhiClimateTest.csv,Good,2,16,False,False,True,True,114,5,0.0,,2,1
DailyDelhiClimateTrain.csv,Good,2,16,False,False,True,True,1462,5,0.0,,3,2
data_science_job_posts_2025 (2).csv,Good,1,20,True,False,False,False,944,13,27.12,,0,0
data_science_job_posts_2025.csv,Good,1,20,True,False,False,False,944,13,27.12,,0,0
data_science_student_marks.csv,Good,0,0,False,False,False,False,497,8,0.0,,0,0
detailed_matches_overview.csv,Good,2,16,False,False,True,True,34,10,0.0,,1,1
dfall_clean.csv,Bad,3,75,True,False,True,True,4000,20,78.85,,6,7
diabetes.csv,Bad,2,37,False,False,True,True,768,9,0.0,0.651,8,5
diabetes_dataset.csv,Bad,2,37,False,False,True,True,100000,31,0.0,,19,4
diamonds.csv,Bad,2,37,False,False,True,True,53940,10,0.0,,7,5
