dataset_name,quality_label,num_rows,num_columns,severity_score,missing_percentage,imbalance_ratio,dataset_size,sparsity_score,aspect_ratio,log_rows,log_columns,severity_per_1k_rows,imbalance_severity,missing_severity,quality_risk
adult.csv,Good,32561,15,21,0.0,,488415,0.0,2035.0625,10.39090124329146,2.772588722239781,0.6257262894431036,0.0,0.0,21.95
adzuna_global_job_listings_2025.csv,Bad,17350,18,57,90.17,,312300,0.9017000000000001,913.1578947368421,9.761405420601672,2.9444389791664403,3.1062670299727517,0.0,51.3969,65.201
agents_stats.csv,Bad,27,9,45,0.0,,243,0.0,2.7,3.332204510175204,2.302585092994046,43.81694255111977,0.0,0.0,32.75
ai_job_market.csv,Good,2000,12,0,0.0,,24000,0.0,153.84615384615384,7.601402334583733,2.5649493574615367,0.0,0.0,0.0,12.5
air_quality_global.csv,Good,6480,11,16,0.0,,71280,0.0,540.0,8.776630098427717,2.4849066497880004,2.13903743315508,0.0,0.0,19.7
airbnb.csv,Bad,48895,16,65,20.56,0.52,782320,0.20559999999999998,2876.176470588235,10.797450872526193,2.833213344056216,1.3027357450646357,33.800000000000004,13.363999999999999,48.418
airlines_test.csv,Good,25976,24,21,0.32,0.561,623424,0.0032,1039.04,10.16496681011591,3.2188758248682006,0.7784697508896797,11.781,0.0672,23.571
airlines_train.csv,Good,103904,24,21,0.3,0.567,2493696,0.003,4156.16,11.551232299124814,3.2188758248682006,0.20018302447952413,11.906999999999998,0.063,23.714999999999996
all_stocks_5yr.csv,Good,619040,7,27,0.0,,4333280,0.0,77380.0,13.335926785337533,2.0794415416798357,0.04354557770466422,0.0,0.0,24.65
amazon_all_electronics_data.csv,Good,9318,7,16,0.71,,65226,0.0070999999999999995,1164.75,9.139810605785655,2.0794415416798357,1.550688117852297,0.0,0.11359999999999999,19.913
application_record.csv,Bad,438557,18,57,30.6,,7894026,0.306,23081.947368421053,12.991247351146791,2.9444389791664403,0.12967601471481513,0.0,17.442,47.33
audi.csv,Bad,10668,9,45,0.0,,96012,0.0,1066.8,9.275097619191461,2.302585092994046,3.8567020911895784,0.0,0.0,32.75
auto-mpg.csv,Good,398,9,10,0.0,,3582,0.0,39.8,5.988961416889864,2.302585092994046,7.153075822603719,0.0,0.0,17.0
Average_Food_Cost_Per_Person.csv,Good,92,14,31,1.09,,1288,0.0109,6.133333333333334,4.532599493153256,2.70805020110221,28.388278388278387,0.0,0.3379,26.777
Bacteria_dataset_Multiresictance.csv,Good,10710,27,10,6.25,,289170,0.0625,382.5,9.27902652976463,3.332204510175204,0.8539709649871904,0.0,0.625,18.875
bank.csv,Bad,11162,17,37,0.0,,189754,0.0,620.1111111111111,9.320360017014732,2.8903717578961645,3.042262785726032,0.0,0.0,29.15
bmw.csv,Good,10781,9,27,0.0,,97029,0.0,1078.1,9.285633356011614,2.302585092994046,2.2918258212375857,0.0,0.0,24.65
breast_cancer.csv,Bad,569,32,45,0.0,0.627,18208,0.0,17.242424242424242,6.345636360828596,3.4965075614664802,28.680688336520078,28.215,0.0,35.925
Building_Permits.csv,Bad,198900,43,75,100.0,,8552700,1.0,4520.454545454545,12.200562492481511,3.784189633918261,0.3751875937968984,0.0,75.0,76.25
cancer-risk-factors.csv,Good,2000,21,16,0.0,,42000,0.0,90.9090909090909,7.601402334583733,3.091042453358316,5.333333333333333,0.0,0.0,19.7
car data.csv,Good,301,9,27,0.0,,2709,0.0,30.1,5.71042701737487,2.302585092994046,20.7532667179093,0.0,0.0,24.65
Car details v3.csv,Good,8128,13,22,2.73,,105664,0.0273,580.5714285714286,9.003193193746572,2.6390573296152584,2.4101665205959684,0.0,0.6006,23.219
cclass.csv,Good,3899,7,27,0.0,,27293,0.0,487.375,8.268731832117737,2.0794415416798357,5.5113288426209435,0.0,0.0,24.65
Children_Participating.csv,Bad,92,14,45,1.09,,1288,0.0109,6.133333333333334,4.532599493153256,2.70805020110221,41.208791208791204,0.0,0.49050000000000005,33.077
Churn_Modelling.csv,Good,10000,14,16,0.0,,140000,0.0,666.6666666666666,9.210440366976517,2.70805020110221,1.4545454545454546,0.0,0.0,19.7
co2_emission.csv,Bad,20853,4,26,10.58,,83412,0.1058,4170.6,9.945301055349539,1.6094379124341003,1.189767995240928,0.0,2.7508,27.374000000000002
Coffe_sales.csv,Good,3547,11,0,0.0,,39017,0.0,295.5833333333333,8.17413934342947,2.4849066497880004,0.0,0.0,0.0,12.5
CollegePlacement.csv,Good,10000,10,10,0.0,,100000,0.0,909.0909090909091,9.210440366976517,2.3978952727983707,0.9090909090909091,0.0,0.0,17.0
credit_record.csv,Good,1048575,3,0,0.0,,3145725,0.0,262143.75,13.862943611198906,1.3862943611198906,0.0,0.0,0.0,12.5
creditcard.csv,Bad,284807,31,45,0.0,,8829017,0.0,8900.21875,12.559570548013085,3.4657359027997265,0.15744890782940935,0.0,0.0,32.75
crocodile_dataset.csv,Good,1000,15,16,0.0,,15000,0.0,62.5,6.90875477931522,2.772588722239781,8.0,0.0,0.0,19.7
cryptocurrency.csv,Good,157696,9,0,0.02,,1419264,0.0002,15769.6,11.968430749307911,2.302585092994046,0.0,0.0,0.0,12.506
cumulative.csv,Bad,9564,50,75,100.0,,478200,1.0,187.52941176470588,9.165865881874353,3.9318256327243257,7.099583491101855,0.0,75.0,76.25
DailyDelhiClimateTest.csv,Good,114,5,16,0.0,,570,0.0,19.0,4.74493212836325,1.791759469228055,14.362657091561937,0.0,0.0,19.7
